1,100,110,1
2,120,110,0
3,150,110,1
1,110,110,0
2,130,110,0
3,160,110,1
1,105,110,0
2,125,110,0
3,155,110,1
1,95,110,1
2,115,110,0
3,145,110,1
1,112,110,0
2,128,110,0
3,157,110,1
1,92,110,1
2,121,110,0
3,149,110,1
1,98,110,1
2,118,110,0
3,152,110,1
1,89,110,1
2,124,110,0
3,153,110,1
1,102,110,0
2,126,110,0
3,161,110,1
1,88,110,1
2,113,110,0
3,147,110,1
1,96,110,1
2,122,110,0
3,154,110,1
1,91,110,1
2,119,110,0
3,146,110,1
1,105,110,0
2,130,110,0
3,162,110,1
1,94,110,0
2,116,110,0
3,148,110,1
1,107,110,0
2,132,110,1
3,159,110,1
